Model,Overall Robustness Score,Grade,Prediction Stability,Probability Stability,Explanation Stability,Feature Stability,Noise Robustness,Missing Data Robustness,Cross-Cohort Stability
Logistic Regression,0.996,High Robustness (Clinical-Grade),1.0,1.0,1.0,1.0,1.0,0.974,1.0
XGBoost,0.993,High Robustness (Clinical-Grade),1.0,1.0,1.0,1.0,1.0,1.0,0.952
Decision Tree,0.982,High Robustness (Clinical-Grade),1.0,0.966,1.0,1.0,1.0,0.909,1.002
LightGBM,0.968,High Robustness (Clinical-Grade),1.0,0.96,1.0,1.0,0.994,0.864,0.974
Random Forest,0.937,High Robustness (Clinical-Grade),0.781,0.949,0.908,1.0,1.0,0.988,0.935
