Model,AUC,95% CI,F1,Sensitivity,Specificity,PPV,NPV,Brier Score,ECE,Accuracy
Logistic Regression,0.6971,0.581–0.802,0.0,0.0,1.0,0.0,0.7667,0.1622,0.0271,0.7667
Decision Tree,0.5314,0.411–0.641,0.2222,0.1714,0.887,0.3158,0.7786,0.2097,0.1095,0.72
Random Forest,0.5516,0.447–0.664,0.2182,0.1714,0.8783,0.3,0.7769,0.213,0.1617,0.7133
XGBoost,0.5883,0.487–0.702,0.2182,0.1714,0.8783,0.3,0.7769,0.2173,0.1676,0.7133
LightGBM,0.5451,0.443–0.663,0.1961,0.1429,0.9043,0.3125,0.7761,0.2086,0.1623,0.7267
Cox PH,0.695155,0.580–0.800,0.48,0.4,0.8609,0.4667,0.825,0.1754,0.0796,0.7533
Random Survival Forest,0.599503,0.488–0.719,0.3939,0.2857,0.8957,0.4545,0.8047,0.1876,0.103,0.7533
